Fid,Certification_Course,Gender,Department,Height_CM,Weight_KG,10th_Mark,12th_Mark,hobbies,daily_studing_time,prefer_to_study_in,like_your_degree,social_medai_video,Travelling_Time ,Stress_Level ,Financial_Status,alcohol_consumption,part_time_job,Label,Results
10.42.0.151-104.244.43.131-57189-443-6,Yes,Male,BCA,172.0,72.0,78.0,67.0,Cinema,3 - 4 hour,Anytime,Yes,1 - 30 Minute,1 - 1.30 hour,Good,good,no,No,1,1
10.42.0.151-119.167.164.21-52978-80-6,Yes,Male,BCA,170.0,55.0,91.0,81.0,Reading books,30 - 60 minute,Anytime,Yes,30 - 60 Minute,1.30 - 2 hour,Good,Bad,yes,No,0,0
10.42.0.211-111.202.114.77-49800-443-6,No,Male,BCA,170.0,65.0,82.0,55.0,Cinema,30 - 60 minute,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,Bad,yes,No,1,1
10.42.0.211-119.167.164.34-41935-80-6,No,Male,BCA,185.0,65.0,80.5,53.0,Sports,2 - 3 hour,Morning,Yes,1 - 1.30 hour,1.30 - 2 hour,Good,Awful,no,No,1,1
172.217.9.234-10.42.0.211-443-32958-6,Yes,Male,BCA,177.0,57.0,75.0,57.0,Sports,0 - 30 minute,Morning,Yes,1.30 - 2 hour,0 - 30 minutes,Good,good,yes,No,0,0
182.22.24.124-10.42.0.211-443-53486-6,No,Male,BCA,170.0,86.0,75.0,68.0,Sports,0 - 30 minute,Anytime,Yes,1 - 1.30 hour,0 - 30 minutes,Good,good,no,No,1,1
203.205.191.27-10.42.0.151-80-43272-6,Yes,Male,B.com Accounting and Finance ,174.0,65.0,90.0,85.0,Cinema,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,no,No,0,0
10.42.0.151-104.244.42.129-42444-443-6,Yes,Male,BCA,167.0,72.0,85.0,60.0,Video Games,2 - 3 hour,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,fabulous,good,no,No,0,0
198.105.244.11-10.42.0.42-80-48147-6,Yes,Female,BCA,155.0,48.0,84.2,64.8,Sports,30 - 60 minute,Anytime,Yes,1 - 30 Minute,1.30 - 2 hour,Good,good,yes,No,0,0
10.42.0.1-10.42.0.42-53-17774-17,Yes,Male,BCA,134.0,40.0,91.4,65.5,Cinema,0 - 30 minute,Morning,Yes,More than 2 hour,30 - 60 minutes,Good,good,no,No,1,1
219.142.78.162-10.42.0.211-80-52931-6,No,Male,BCA,159.0,51.0,86.0,72.0,Reading books,More Than 4 hour,Morning,No,30 - 60 Minute,1 - 1.30 hour,Good,Bad,yes,No,0,0
10.42.0.211-10.42.0.1-62566-53-17,Yes,Female,BCA,150.0,50.0,85.0,55.0,Video Games,2 - 3 hour,Anytime,Yes,30 - 60 Minute,1 - 1.30 hour,Good,good,no,Yes,1,1
10.42.0.211-10.42.0.1-29729-53-17,Yes,Female,BCA,150.0,40.0,80.0,60.0,Sports,30 - 60 minute,Anytime,Yes,More than 2 hour,0 - 30 minutes,Good,good,yes,No,0,0
8.0.6.4-8.6.0.1-0-0-0,Yes,Male,BCA,180.0,85.0,78.0,58.0,Sports,0 - 30 minute,Morning,No,1 - 30 Minute,30 - 60 minutes,Good,good,no,No,1,1
180.163.255.159-10.42.0.211-80-38935-6,Yes,Male,BCA,120.0,55.0,75.0,65.0,Sports,30 - 60 minute,Morning,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,yes,No,0,0
10.42.0.211-120.55.89.238-49582-8977-6,Yes,Male,BCA,182.0,58.0,80.0,60.0,Sports,1 - 2 Hour,Night,Yes,30 - 60 Minute,30 - 60 minutes,Bad,good,yes,No,1,1
172.217.12.142-10.42.0.151-443-54263-6,Yes,Male,BCA,165.0,67.0,90.0,70.0,Reading books,30 - 60 minute,Morning,No,1 - 30 Minute,more than 3 hour,Good,Bad,no,Yes,1,1
10.42.0.211-69.147.64.34-34232-443-6,Yes,Female,B.com Accounting and Finance ,160.0,38.0,80.0,88.0,Sports,2 - 3 hour,Anytime,Yes,30 - 60 Minute,2 - 2.30 hour,Good,good,no,No,0,0
180.149.134.221-10.42.0.42-80-48139-6,Yes,Male,B.com Accounting and Finance ,170.0,80.0,75.0,90.0,Sports,More Than 4 hour,Anytime,Yes,30 - 60 Minute,1.30 - 2 hour,fabulous,Bad,no,No,0,0
172.217.12.132-10.42.0.211-443-33692-6,No,Male,BCA,165.0,45.0,50.0,50.0,Cinema,0 - 30 minute,Night,Yes,1 - 30 Minute,0 - 30 minutes,fabulous,Fabulous,no,Yes,0,0
216.58.219.206-10.42.0.151-443-43482-6,Yes,Female,B.com Accounting and Finance ,148.0,78.0,71.2,79.5,Cinema,30 - 60 minute,Anytime,Yes,30 - 60 Minute,1 - 1.30 hour,Good,Bad,no,No,0,0
10.42.0.211-64.71.142.124-45317-443-6,No,Female,B.com Accounting and Finance ,130.0,35.0,80.2,70.0,Reading books,More Than 4 hour,Morning,No,30 - 60 Minute,1 - 1.30 hour,Good,Bad,no,No,0,0
10.42.0.211-31.13.80.8-46190-443-6,No,Female,BCA,140.0,45.0,85.0,63.0,Sports,30 - 60 minute,Night,Yes,More than 2 hour,30 - 60 minutes,Bad,Bad,no,No,0,0
172.217.12.170-10.42.0.42-443-53262-6,Yes,Male,BCA,175.0,70.0,90.2,72.8,Video Games,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,no,No,0,0
10.42.0.151-104.88.88.137-43558-80-6,No,Male,BCA,175.0,76.0,61.8,68.3,Sports,2 - 3 hour,Morning,Yes,30 - 60 Minute,1.30 - 2 hour,Good,good,yes,No,0,0
172.217.3.99-10.42.0.151-443-59662-6,No,Male,BCA,160.0,70.0,80.0,69.0,Sports,30 - 60 minute,Morning,Yes,30 - 60 Minute,1 - 1.30 hour,Awful,good,yes,No,1,1
172.217.11.46-10.42.0.151-443-53998-6,Yes,Female,BCA,155.0,43.0,79.0,61.0,Cinema,1 - 2 Hour,Night,Yes,1.30 - 2 hour,0 - 30 minutes,Awful,Awful,no,No,1,1
209.85.144.113-10.42.0.211-443-54102-6,Yes,Female,BCA,156.0,50.0,64.0,49.5,Reading books,2 - 3 hour,Night,Yes,30 - 60 Minute,30 - 60 minutes,Bad,Bad,no,No,0,0
10.42.0.211-66.198.24.225-34050-443-6,Yes,Female,BCA,160.0,50.0,86.0,68.0,Video Games,2 - 3 hour,Anytime,Yes,30 - 60 Minute,0 - 30 minutes,Good,Bad,yes,No,0,0
10.42.0.211-59.38.112.48-58972-443-6,Yes,Male,BCA,175.0,68.9,71.0,66.0,Video Games,30 - 60 minute,Morning,Yes,1 - 1.30 hour,2 - 2.30 hour,Good,good,no,No,1,1
157.240.2.25-10.42.0.42-443-51678-6,Yes,Female,BCA,155.0,50.0,80.0,73.0,Cinema,0 - 30 minute,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Good,Bad,yes,Yes,0,0
172.217.12.170-10.42.0.42-443-39398-6,No,Male,Commerce,150.0,55.0,50.0,50.0,Sports,3 - 4 hour,Morning,Yes,More than 2 hour,1 - 1.30 hour,Good,Bad,no,No,1,1
172.217.11.46-10.42.0.151-443-57921-6,Yes,Male,Commerce,165.0,75.0,65.0,75.0,Cinema,0 - 30 minute,Anytime,Yes,1 - 1.30 hour,0 - 30 minutes,fabulous,good,no,Yes,0,0
151.101.129.140-10.42.0.151-80-42847-6,No,Male,Commerce,156.0,50.0,90.0,80.0,Sports,1 - 2 Hour,Morning,No,1 - 1.30 hour,30 - 60 minutes,Awful,Bad,yes,No,0,0
223.252.199.21-10.42.0.211-443-51197-6,Yes,Male,Commerce,167.0,53.0,85.0,91.0,Video Games,30 - 60 minute,Morning,Yes,30 - 60 Minute,2 - 2.30 hour,Bad,Bad,no,No,1,1
10.42.0.42-106.39.169.66-50153-80-6,Yes,Male,Commerce,165.0,64.0,75.0,70.0,Video Games,30 - 60 minute,Morning,Yes,30 - 60 Minute,2.30 - 3 hour,Good,good,yes,Yes,0,0
10.42.0.211-23.208.168.108-54527-443-6,Yes,Male,Commerce,190.0,106.0,82.0,78.0,Reading books,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,1.30 - 2 hour,Good,Bad,no,Yes,1,1
10.42.0.211-76.13.28.196-45344-443-6,No,Male,Commerce,192.0,85.0,84.0,85.0,Cinema,30 - 60 minute,Anytime,Yes,30 - 60 Minute,more than 3 hour,Good,Bad,yes,No,0,0
172.217.7.227-10.42.0.211-443-55495-6,Yes,Male,Commerce,173.0,58.0,91.0,83.5,Video Games,1 - 2 Hour,Night,Yes,30 - 60 Minute,2 - 2.30 hour,Bad,good,yes,No,1,1
10.42.0.211-121.12.98.63-35946-80-6,Yes,Female,Commerce,145.0,60.0,92.0,75.0,Cinema,3 - 4 hour,Anytime,Yes,More than 2 hour,0 - 30 minutes,Bad,good,no,No,1,1
172.217.9.234-10.42.0.42-443-49298-6,Yes,Male,Commerce,170.0,90.0,75.0,75.0,Sports,30 - 60 minute,Anytime,Yes,1 - 1.30 hour,1.30 - 2 hour,Good,good,no,No,0,0
203.205.158.60-10.42.0.211-80-47615-6,Yes,Male,Commerce,169.0,65.0,90.0,80.0,Cinema,3 - 4 hour,Anytime,Yes,1.30 - 2 hour,more than 3 hour,Good,good,no,No,0,0
10.42.0.211-72.30.2.182-57150-443-6,Yes,Male,Commerce,175.0,59.0,81.0,64.0,Sports,1 - 2 Hour,Anytime,Yes,1.30 - 2 hour,30 - 60 minutes,Good,good,no,No,0,0
10.42.0.211-115.239.210.141-58053-443-6,Yes,Female,Commerce,150.0,42.0,70.0,71.0,Sports,1 - 2 Hour,Anytime,Yes,30 - 60 Minute,0 - 30 minutes,Good,Fabulous,yes,No,0,0
10.42.0.211-10.42.0.1-36706-53-17,Yes,Male,Commerce,178.0,60.0,70.0,60.0,Sports,2 - 3 hour,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Good,Bad,yes,Yes,1,1
172.217.11.42-10.42.0.151-443-40104-6,Yes,Female,Commerce,157.0,40.0,93.0,86.0,Cinema,30 - 60 minute,Morning,Yes,More than 2 hour,30 - 60 minutes,Good,Bad,yes,No,1,1
172.217.9.229-10.42.0.151-443-35998-6,No,Female,Commerce,160.0,40.0,76.0,63.0,Sports,30 - 60 minute,Night,Yes,1 - 1.30 hour,30 - 60 minutes,Good,good,yes,Yes,1,1
10.42.0.211-10.42.0.1-4499-53-17,Yes,Male,Commerce,159.0,80.0,60.0,79.0,Cinema,30 - 60 minute,Morning,Yes,More than 2 hour,1.30 - 2 hour,Good,Bad,yes,No,1,1
10.42.0.211-103.235.46.211-59429-443-6,No,Male,Commerce,182.0,57.0,83.7,76.77,Sports,30 - 60 minute,Night,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,yes,No,1,1
10.42.0.211-63.251.98.12-37158-443-6,No,Female,Commerce,150.0,54.0,76.0,76.0,Sports,3 - 4 hour,Anytime,Yes,1 - 1.30 hour,30 - 60 minutes,Good,Bad,yes,No,1,1
172.217.7.8-10.42.0.151-443-41995-6,Yes,Female,Commerce,154.0,62.0,70.0,50.0,Cinema,1 - 2 Hour,Night,Yes,1 - 1.30 hour,30 - 60 minutes,Bad,Bad,yes,No,1,1
172.217.10.131-10.42.0.151-443-35087-6,Yes,Female,Commerce,165.0,75.0,91.0,70.0,Cinema,1 - 2 Hour,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Bad,Awful,yes,No,1,1
10.42.0.211-10.42.0.1-50021-53-17,Yes,Female,Commerce,150.0,40.0,80.0,75.0,Cinema,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,0 - 30 minutes,Good,Bad,yes,No,1,1
10.42.0.151-10.42.0.1-21131-53-17,Yes,Female,B.com ISM,149.0,50.0,60.0,60.0,Cinema,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Bad,Bad,yes,No,1,1
172.217.12.170-10.42.0.151-443-39254-6,No,Male,B.com ISM,150.0,48.0,60.0,77.0,Video Games,30 - 60 minute,Night,Yes,30 - 60 Minute,30 - 60 minutes,Bad,Bad,yes,Yes,1,1
216.58.212.131-10.42.0.211-443-52744-6,No,Female,B.com ISM,160.0,50.0,60.0,70.0,Sports,0 - 30 minute,Night,Yes,30 - 60 Minute,1 - 1.30 hour,Good,Bad,yes,No,1,1
172.217.6.237-10.42.0.151-443-43456-6,Yes,Male,B.com ISM,173.0,92.0,54.0,65.0,Cinema,0 - 30 minute,Anytime,Yes,More than 2 hour,1 - 1.30 hour,Good,good,yes,No,1,1
172.217.10.142-10.42.0.151-443-53952-6,No,Male,B.com ISM,150.0,48.0,46.0,48.0,Sports,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,1 - 1.30 hour,Bad,Bad,no,No,1,1
169.55.67.233-10.42.0.211-443-53427-6,Yes,Male,B.com ISM,163.0,80.0,76.0,47.0,Cinema,0 - 30 minute,Morning,Yes,1 - 30 Minute,0 - 30 minutes,Awful,Awful,yes,No,0,0
10.42.0.211-10.42.0.1-41712-53-17,Yes,Male,B.com ISM,168.0,48.0,70.0,60.0,Sports,30 - 60 minute,Morning,Yes,1 - 30 Minute,more than 3 hour,Bad,Bad,yes,No,1,1
10.42.0.1-10.42.0.42-53-22817-17,Yes,Male,B.com ISM,162.0,85.0,56.0,57.0,Sports,30 - 60 minute,Night,Yes,30 - 60 Minute,1 - 1.30 hour,Good,good,yes,No,1,1
173.194.74.113-10.42.0.42-443-48147-6,Yes,Male,B.com ISM,170.0,80.0,67.0,70.0,Sports,More Than 4 hour,Anytime,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,no,No,1,1
192.229.163.180-10.42.0.211-443-50431-6,No,Male,B.com ISM,145.0,50.0,75.0,79.0,Reading books,1 - 2 Hour,Morning,Yes,1 - 30 Minute,0 - 30 minutes,Good,Awful,no,No,0,0
10.42.0.151-47.88.68.22-57412-443-6,No,Male,B.com ISM,160.0,52.0,65.0,70.0,Video Games,30 - 60 minute,Night,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,no,No,0,0
10.42.0.42-23.208.168.108-51440-80-6,No,Male,B.com ISM,180.0,65.0,86.0,86.0,Video Games,30 - 60 minute,Anytime,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,yes,No,0,0
10.42.0.211-98.139.225.43-41843-443-6,No,Male,B.com ISM,149.0,35.0,70.0,67.0,Video Games,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,yes,No,1,1
216.58.219.202-10.42.0.151-443-55745-6,No,Male,B.com ISM,173.0,60.0,60.0,52.0,Video Games,1 - 2 Hour,Night,Yes,30 - 60 Minute,1 - 1.30 hour,Bad,Bad,yes,No,1,1
172.217.6.206-10.42.0.151-443-32875-6,No,Female,B.com ISM,149.0,40.0,60.0,60.0,Cinema,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Bad,good,no,No,1,1
172.217.10.138-10.42.0.211-443-37120-6,Yes,Male,B.com ISM,170.0,55.0,50.0,50.0,Cinema,30 - 60 minute,Night,Yes,1 - 30 Minute,30 - 60 minutes,Bad,good,yes,Yes,0,0
10.42.0.211-54.149.94.193-35657-443-6,No,Female,B.com ISM,155.0,39.0,45.0,45.0,Sports,3 - 4 hour,Night,No,30 - 60 Minute,30 - 60 minutes,fabulous,good,no,No,1,1
209.85.232.101-10.42.0.151-443-32890-6,Yes,Male,B.com ISM,153.0,45.0,67.0,54.0,Cinema,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,yes,No,0,0
10.42.0.211-10.42.0.1-26143-53-17,Yes,Male,B.com ISM,170.0,65.0,79.0,62.0,Cinema,1 - 2 Hour,Morning,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,no,No,1,1
172.217.6.206-10.42.0.151-443-45745-6,No,Male,B.com ISM,173.0,75.0,60.0,50.0,Sports,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,1.30 - 2 hour,Bad,Bad,no,No,0,0
239.255.255.250-10.42.0.1-1900-56691-17,Yes,Male,B.com ISM,170.0,60.0,50.0,50.0,Reading books,1 - 2 Hour,Anytime,Yes,More than 2 hour,1 - 1.30 hour,Bad,good,yes,Yes,0,0
10.42.0.211-23.194.140.226-48102-80-6,Yes,Male,B.com ISM,120.0,74.0,80.0,70.0,Cinema,1 - 2 Hour,Anytime,Yes,More than 2 hour,30 - 60 minutes,Bad,Bad,yes,Yes,1,1
10.42.0.211-10.42.0.1-38714-53-17,Yes,Female,Commerce,160.0,68.0,96.0,92.0,Cinema,3 - 4 hour,Morning,Yes,1.30 - 2 hour,0 - 30 minutes,Good,good,no,No,1,1
10.42.0.42-106.11.93.16-35837-443-6,No,Male,Commerce,140.0,86.0,76.0,83.0,Cinema,30 - 60 minute,Morning,Yes,More than 2 hour,30 - 60 minutes,Good,Bad,no,No,0,0
10.42.0.211-52.84.34.143-57161-443-6,Yes,Male,Commerce,165.0,60.0,55.0,50.0,Sports,0 - 30 minute,Morning,Yes,1 - 30 Minute,1 - 1.30 hour,Good,Bad,yes,No,0,0
172.217.3.106-10.42.0.151-443-60823-6,Yes,Male,Commerce,161.0,55.0,89.0,79.0,Sports,30 - 60 minute,Morning,Yes,30 - 60 Minute,30 - 60 minutes,Bad,Bad,no,No,1,1
172.217.11.46-10.42.0.151-443-46447-6,Yes,Female,Commerce,146.0,39.0,95.6,86.0,Cinema,1 - 2 Hour,Anytime,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,no,No,0,0
192.229.163.180-10.42.0.42-443-52283-6,Yes,Male,Commerce,155.0,70.0,60.0,60.0,Sports,2 - 3 hour,Night,Yes,More than 2 hour,1 - 1.30 hour,Good,good,yes,Yes,0,0
180.149.138.210-10.42.0.211-80-40262-6,No,Male,Commerce,120.0,80.0,81.0,80.0,Cinema,30 - 60 minute,Night,Yes,More than 2 hour,0 - 30 minutes,Good,Fabulous,no,Yes,1,1
10.42.0.211-10.42.0.1-60774-53-17,Yes,Male,Commerce,160.0,70.0,84.0,76.0,Video Games,30 - 60 minute,Anytime,Yes,More than 2 hour,1 - 1.30 hour,Bad,Bad,yes,Yes,0,0
10.42.0.211-10.42.0.1-40754-53-17,Yes,Female,Commerce,152.0,32.0,80.0,60.0,Sports,1 - 2 Hour,Night,Yes,1 - 1.30 hour,30 - 60 minutes,Bad,good,yes,No,1,1
10.42.0.211-72.21.207.148-42355-443-6,No,Male,Commerce,168.0,75.0,75.0,65.0,Cinema,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,no,No,1,1
216.58.219.227-10.42.0.151-443-56610-6,Yes,Female,Commerce,152.0,64.0,90.4,80.0,Cinema,1 - 2 Hour,Anytime,Yes,30 - 60 Minute,1 - 1.30 hour,Good,good,no,No,0,0
208.80.154.224-10.42.0.211-443-34709-6,No,Male,Commerce,156.0,45.0,85.0,75.0,Sports,More Than 4 hour,Anytime,Yes,1 - 1.30 hour,2 - 2.30 hour,Good,Bad,yes,Yes,0,0
10.42.0.42-31.13.80.37-36411-443-6,Yes,Female,Commerce,151.0,55.0,93.8,83.5,Reading books,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,30 - 60 minutes,Good,good,no,Yes,1,1
192.229.173.173-10.42.0.211-443-58665-6,No,Female,Commerce,165.0,62.0,78.0,75.0,Sports,2 - 3 hour,Anytime,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,no,No,0,0
10.42.0.211-66.102.255.61-35485-443-6,Yes,Female,Commerce,160.0,60.0,75.0,85.0,Cinema,2 - 3 hour,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,no,No,0,0
172.217.9.234-10.42.0.151-443-39448-6,Yes,Female,Commerce,153.0,58.0,85.0,74.0,Cinema,0 - 30 minute,Anytime,Yes,More than 2 hour,0 - 30 minutes,Awful,good,no,No,0,0
158.85.58.60-10.42.0.151-5222-43013-6,Yes,Male,Commerce,175.0,75.0,88.0,85.0,Sports,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,no,No,0,0
208.185.50.45-10.42.0.211-443-59979-6,No,Male,Commerce,161.0,54.0,90.0,73.0,Cinema,30 - 60 minute,Morning,Yes,30 - 60 Minute,more than 3 hour,Bad,Bad,yes,No,0,0
10.42.0.211-10.42.0.1-47717-53-17,Yes,Male,Commerce,160.0,60.0,85.0,80.0,Cinema,30 - 60 minute,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Awful,Bad,yes,No,1,1
172.217.3.110-10.42.0.151-443-49991-6,Yes,Female,Commerce,153.0,45.0,83.0,73.0,Cinema,0 - 30 minute,Morning,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,yes,No,1,1
172.217.10.110-10.42.0.151-443-44715-6,Yes,Male,Commerce,160.0,50.0,85.0,80.0,Sports,30 - 60 minute,Night,Yes,1 - 1.30 hour,0 - 30 minutes,Good,Bad,no,No,1,1
10.42.0.151-111.206.25.159-48026-80-6,Yes,Male,Commerce,170.0,65.0,82.0,73.0,Cinema,0 - 30 minute,Anytime,Yes,1.30 - 2 hour,0 - 30 minutes,fabulous,Bad,no,No,0,0
10.42.0.211-10.42.0.1-1472-53-17,Yes,Female,Commerce,152.0,65.0,97.0,80.0,Reading books,3 - 4 hour,Morning,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,yes,Yes,0,0
10.42.0.211-123.125.29.220-46081-80-6,Yes,Female,Commerce,164.0,43.0,80.0,89.0,Reading books,2 - 3 hour,Morning,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,yes,No,1,1
172.217.3.99-10.42.0.151-443-39237-6,Yes,Female,Commerce,167.0,65.0,93.0,85.0,Reading books,1 - 2 Hour,Night,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,yes,No,1,1
180.149.134.141-10.42.0.211-80-57695-6,Yes,Male,B.com ISM,167.0,55.0,55.0,57.0,Sports,30 - 60 minute,Anytime,Yes,0 Minute,0 - 30 minutes,Awful,Bad,no,No,1,1
10.42.0.42-104.254.66.16-49939-80-6,Yes,Male,B.com ISM,155.0,68.0,75.0,75.0,Sports,1 - 2 Hour,Anytime,Yes,1.30 - 2 hour,1 - 1.30 hour,Good,good,yes,No,0,0
174.35.73.110-10.42.0.211-80-47715-6,No,Female,B.com ISM,153.0,60.0,60.0,70.0,Sports,1 - 2 Hour,Anytime,Yes,1 - 1.30 hour,0 - 30 minutes,Good,Bad,yes,No,1,1
183.79.17.108-10.42.0.151-443-60432-6,Yes,Male,B.com ISM,170.0,76.0,72.0,67.0,Video Games,30 - 60 minute,Morning,Yes,More than 2 hour,30 - 60 minutes,Bad,Bad,yes,No,1,1
10.42.0.151-10.42.0.1-2381-53-17,Yes,Male,B.com ISM,172.0,52.0,72.0,70.0,Cinema,2 - 3 hour,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,yes,No,1,1
171.84.4.11-10.42.0.211-80-48070-6,Yes,Female,BCA,139.0,33.0,90.0,75.0,Cinema,30 - 60 minute,Night,Yes,30 - 60 Minute,2.30 - 3 hour,Bad,good,yes,No,1,1
10.42.0.151-10.42.0.1-61587-53-17,Yes,Female,Commerce,153.0,58.0,85.0,74.0,Cinema,0 - 30 minute,Anytime,Yes,More than 2 hour,2.30 - 3 hour,Awful,good,yes,No,1,1
10.42.0.211-10.42.0.1-56168-53-17,No,Female,B.com ISM,155.0,39.0,45.0,45.0,Sports,3 - 4 hour,Night,No,30 - 60 Minute,2.30 - 3 hour,fabulous,good,no,No,1,1
